Model,Test Accuracy,Macro F1
KNN,0.22,0.20902211020912312
SVM,0.36,0.35460431147057647
Random Forest,0.325,0.3142281797262279
CNN,0.4875,0.46345100160739355
BiLSTM,0.3875,0.3845299686339275
