model,cv_mean,cv_std,test_acc,macro_f1
KNN,0.18750000000000003,0.014790199457749037,0.22,0.20902211020912312
SVM,0.33125,0.016298006013006627,0.36,0.35460431147057647
Random Forest,0.29875,0.03147419578003544,0.325,0.3142281797262279
